gard_id,gard_label,target,target_label,clique_leader,clique_type,clique_members_joined
GARD:27471,Childhood Pancreatic Acinar Cell Carcinoma,NCIT:C190024,Childhood Pancreatic Acinar Cell Carcinoma,UMLS:C5783456,biolink:Disease,2
GARD:27472,Childhood Pancreatic Acinar Cell Cystadenocarcinoma,NCIT:C190026,Childhood Pancreatic Acinar Cell Cystadenocarcinoma,UMLS:C5783457,biolink:Disease,2
GARD:28194,Childhood Paranasal Sinus Carcinoma,NCIT:C118818,Childhood Paranasal Sinus Carcinoma,UMLS:C3899648,biolink:Disease,2
GARD:28195,Childhood Parathyroid Gland Carcinoma,NCIT:C118819,Childhood Parathyroid Gland Carcinoma,UMLS:C3899647,biolink:Disease,2
GARD:27449,Childhood Rectal Carcinoma,NCIT:C118823,Childhood Rectal Carcinoma,UMLS:C3899643,biolink:Disease,2
GARD:27478,Childhood Salivary Gland Acinic Cell Carcinoma,NCIT:C190274,Childhood Salivary Gland Acinic Cell Carcinoma,UMLS:C5783601,biolink:Disease,2
GARD:28196,Childhood Salivary Gland Carcinoma,NCIT:C118824,Childhood Salivary Gland Carcinoma,UMLS:C3899642,biolink:Disease,2
GARD:27477,Childhood Salivary Gland Mucoepidermoid Carcinoma,NCIT:C190273,Childhood Salivary Gland Mucoepidermoid Carcinoma,UMLS:C5783600,biolink:Disease,2
GARD:27455,Childhood Small Intestinal Leiomyosarcoma,NCIT:C123932,Childhood Small Intestinal Leiomyosarcoma,UMLS:C4086172,biolink:Disease,2
GARD:27450,Childhood Thyroid Gland Carcinoma,NCIT:C118827,Childhood Thyroid Gland Carcinoma,UMLS:C3899640,biolink:Disease,2
GARD:27453,Childhood Thyroid Gland Follicular Carcinoma,NCIT:C123904,Childhood Thyroid Gland Follicular Carcinoma,UMLS:C4086176,biolink:Disease,2
GARD:27454,Childhood Thyroid Gland Medullary Carcinoma,NCIT:C123905,Childhood Thyroid Gland Medullary Carcinoma,UMLS:C4086177,biolink:Disease,2
GARD:27452,Childhood Thyroid Gland Papillary Carcinoma,NCIT:C123903,Childhood Thyroid Gland Papillary Carcinoma,UMLS:C4086178,biolink:Disease,2
GARD:27473,Childhood Thyroid Gland Spindle Epithelial Tumor with Thymus-Like Elements,NCIT:C190064,Childhood Thyroid Gland Spindle Epithelial Tumor with Thymus-Like Elements,UMLS:C5783476,biolink:Disease,2
GARD:28328,Chronic transplant rejection,MONDO:1010188,chronic transplant rejection,MONDO:1010188,biolink:Disease,1
GARD:28241,Clear Cell Calcifying Epithelial Odontogenic Tumor,NCIT:C202057,Clear Cell Calcifying Epithelial Odontogenic Tumor,UMLS:C5908315,biolink:Disease,2
GARD:27502,Clear Cell Odontogenic Carcinoma,NCIT:C54300,Clear Cell Odontogenic Carcinoma,UMLS:C4316837,biolink:Disease,4
GARD:22068,Cleft lip and palate-craniofacial dysmorphism-congenital heart defect-hearing loss syndrome,orphanet:508476,Cleft lip and palate-craniofacial dysmorphism-congenital heart defect-hearing loss syndrome,MONDO:0976127,biolink:Disease,5
GARD:28320,Cleidocranial dysplasia 2,MONDO:0859307,cleidocranial dysplasia 2,MONDO:0859307,biolink:Disease,4
GARD:28316,Congenital megaprepuce,MONDO:0700340,congenital megaprepuce,MONDO:0700340,biolink:Disease,5
GARD:27490,Conventional Ameloblastoma,NCIT:C39755,Conventional Ameloblastoma,UMLS:C1513734,biolink:Disease,2
GARD:28225,Conventional Follicular Dendritic Cell Sarcoma,NCIT:C172846,Conventional Follicular Dendritic Cell Sarcoma,UMLS:C5419895,biolink:Disease,2
GARD:28348,Crystal-Storing Histiocytosis,NCIT:C158967,Crystal-Storing Histiocytosis,NCIT:C158967,biolink:Disease,1
GARD:27487,Cutaneous ALK-Positive Histiocytosis,NCIT:C206209,Cutaneous ALK-Positive Histiocytosis,UMLS:C5959629,biolink:Disease,2
GARD:28222,Cutaneous Erdheim-Chester Disease,NCIT:C168991,Cutaneous Erdheim-Chester Disease,UMLS:C5239291,biolink:Disease,2
GARD:28220,Cutaneous Histiocytic and Dendritic Cell Neoplasm,NCIT:C168980,Cutaneous Histiocytic and Dendritic Cell Neoplasm,UMLS:C5239286,biolink:Disease,2
GARD:27488,Cutaneous Histiocytic Sarcoma,NCIT:C206210,Cutaneous Histiocytic Sarcoma,UMLS:C5959630,biolink:Disease,2
GARD:27458,Cutaneous Indeterminate Dendritic Cell Tumor,NCIT:C168984,Cutaneous Indeterminate Dendritic Cell Tumor,UMLS:C5239288,biolink:Disease,2
GARD:28249,Cutaneous Juvenile Xanthogranuloma,NCIT:C202966,Cutaneous Juvenile Xanthogranuloma,UMLS:C5908876,biolink:Disease,2
GARD:28221,Cutaneous Langerhans Cell Histiocytosis,NCIT:C168983,Cutaneous Langerhans Cell Histiocytosis,UMLS:C5208352,biolink:Disease,2
GARD:27486,Cutaneous Plasmacytoid Dendritic Cell Neoplasm,NCIT:C206207,Cutaneous Plasmacytoid Dendritic Cell Neoplasm,UMLS:C5959627,biolink:Disease,2
GARD:27459,Cutaneous Rosai-Dorfman-Destombes Disease,NCIT:C168986,Cutaneous Rosai-Dorfman-Destombes Disease,UMLS:C5239290,biolink:Disease,2
GARD:28242,Cystic/Microcystic Calcifying Epithelial Odontogenic Tumor,NCIT:C202058,Cystic/Microcystic Calcifying Epithelial Odontogenic Tumor,UMLS:C5908316,biolink:Disease,2
GARD:27504,Dentinogenic Ghost Cell Tumor,NCIT:C54323,Dentinogenic Ghost Cell Tumor,UMLS:C1704219,biolink:Disease,3
GARD:28198,"Denys-Drash Syndrome, Incomplete",NCIT:C121209,"Denys-Drash Syndrome, Incomplete",UMLS:C4055156,biolink:Disease,2
GARD:28331,Dextro-Transposition of the Great Vessels with Intact Ventricular Septum,NCIT:C101185,Dextro-Transposition of the Great Vessels with Intact Ventricular Septum,UMLS:C3640019,biolink:Disease,2
GARD:28332,Dextro-Transposition of the Great Vessels with Ventricular Septal Defect,NCIT:C101186,Dextro-Transposition of the Great Vessels with Ventricular Septal Defect,UMLS:C3640020,biolink:Disease,2
GARD:28274,Digestive System Histiocytic and Dendritic Cell Neoplasm,NCIT:C213905,Digestive System Histiocytic and Dendritic Cell Neoplasm,UMLS:C5985259,biolink:Disease,2
